extracción,articulo,precio,descripcion,semana,tallas,colores,enlace,marca,grupo,seccion
2024-05-19 17:35:23.969311,PANTALÓN PLIEGUES ZW COLLECTION,39.95,"ZARA WOMAN COLLECTIONPantalón confeccionado en hilatura con algodón. Tiro medio y cintura con trabillas ajustable con botones. Bolsillos laterales y de vivo en espalda. Detalle de pinzas en delantero. Cierre frontal con cremallera, botón y ganchos metálicos.",V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL']","['Beige', 'Crudo']",https://www.zara.com/es/es/pantalon-pliegues-zw-collection-p07149043.html,ZARA,PANTALÓN,MUJER
2024-05-19 17:35:23.969311,TOP RÍGIDO ARRUGADO,25.95,Top confeccionado en tejido rígido. Escote redondo y tirantes anchos. Detalle de tejido arrugado.,V2024-MUJER-ULTIMA-SEMANA,"['S', 'M', 'L']",[],https://www.zara.com/es/es/top-rigido-arrugado-p00264078.html,ZARA,TOP,MUJER
2024-05-19 17:35:23.969311,VESTIDO MIDI BORDADOS ZW COLLECTION,89.95,ZARA WOMAN COLLECTIONVestido midi de cuello redondo y manga sisa. Detalle de bordados con aplicación de abalorios en delantero combinados a tono. Cierre en espalda con cremallera oculta en costura.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL']",[],https://www.zara.com/es/es/vestido-midi-bordados-zw-collection-p06895045.html,ZARA,VESTIDO,MUJER
2024-05-19 17:35:23.969311,JERSEY BÁSICO PUNTO LISO,25.95,Jersey de cuello redondo amplio y manga larga con hombro caído.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL']",[],https://www.zara.com/es/es/jersey-basico-punto-liso-p05536069.html,ZARA,JERSEY,MUJER
2024-05-19 17:35:23.969311,PANTALÓN RECTO SATINADO ZW COLLECTION,39.95,ZARA WOMAN COLLECTIONPantalón satinado confeccionado en hilatura de viscosa 100%. Tiro medio y cintura elástica ajustable con cordones. Bolsillos delanteros. Pierna recta.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL']",[],https://www.zara.com/es/es/pantalon-recto-satinado-zw-collection-p02413194.html,ZARA,PANTALÓN,MUJER
2024-05-19 17:35:23.969311,VESTIDO PUNTO CROCHET FLECOS,99.95,Vestido de cuello redondo y manga larga. Forro interior. Bajo acabado con flecos.,V2024-MUJER-ULTIMA-SEMANA,"['S', 'M', 'L']",[],https://www.zara.com/es/es/vestido-punto-crochet-flecos-p01957019.html,ZARA,VESTIDO,MUJER
2024-05-19 17:35:23.969311,CAMISA BORDADOS PERFORADOS ZW COLLECTION,29.95,ZARA WOMAN COLLECTIONCamisa confeccionada en hilatura de algodón 100%. Cuello solapa y manga por debajo del codo acabada en puño. Detalle de bordados perforados. Bajo asimétrico con aberturas laterales. Cierre frontal con botones.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",[],https://www.zara.com/es/es/camisa-bordados-perforados-zw-collection-p04877071.html,ZARA,CAMISA,MUJER
2024-05-19 17:35:23.969311,BLAZER ENTALLADA MEZCLA LINO ZW COLLECTION,69.95,ZARA WOMAN COLLECTIONBlazer entallada confeccionada en hilatura con mezcla de lino. Cuello solapa de muescas y manga larga acabada en abertura y botones. Bolsillos con solapa en delantero y de vivo en pecho. Cierre frontal con botones.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",[],https://www.zara.com/es/es/blazer-entallada-mezcla-lino-zw-collection-p02549586.html,ZARA,BLAZER,MUJER
2024-05-19 17:35:23.969311,VESTIDO TÚNICA RAMIO ESTAMPADO ZW COLLECTION,69.95,ZARA WOMAN COLLECTIONVestido tipo túnica confeccionado en hilatura de ramio 100%. Escote pico y manga larga abullonada acabada en elástico.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL']",[],https://www.zara.com/es/es/vestido-tunica-ramio-estampado-zw-collection-p03474181.html,ZARA,VESTIDO,MUJER
2024-05-19 17:35:23.969311,VESTIDO ASIMÉTRICO ESTAMPADO ZW COLLECTION,49.95,ZARA WOMAN COLLECTIONVestido confeccionado en hilatura de viscosa 100%. Escote asimétrico y manga larga acabada en línea evasé. Detalle de pliegues en tejido. Cierre lateral con cremallera oculta en costura.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",[],https://www.zara.com/es/es/vestido-asimetrico-estampado-zw-collection-p03410038.html,ZARA,VESTIDO,MUJER
2024-05-19 17:35:23.969311,VESTIDO HALTER ESTAMPADO ZW COLLECTION,39.95,ZARA WOMAN COLLECTIONVestido largo confeccionado en hilatura de algodón 100%. Cuello halter ajustable con lazadas en cuello y escote pico. Bajo acabado en volante.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL']",[],https://www.zara.com/es/es/vestido-halter-estampado-zw-collection-p06895079.html,ZARA,VESTIDO,MUJER
2024-05-19 17:35:23.969311,CAMISA SATINADA BOLSILLOS ZW COLLECTION,39.95,ZARA WOMAN COLLECTIONCamisa satinada confeccionada en hilatura de viscosa 100%. Cuello solapa y manga ajustable con trabilla y botón. Bolsillo de plastrón en pecho. Bajo redondeado. Cierre frontal con botones.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL']",[],https://www.zara.com/es/es/camisa-satinada-bolsillos-zw-collection-p02893194.html,ZARA,CAMISA,MUJER
2024-05-19 17:35:23.969311,VESTIDO MIDI VUELO ZW COLLECTION,69.95,ZARA WOMAN COLLECTIONVestido midi confeccionado en hilatura con mezcla de algodón. Cuello redondo y manga sisa. Detalle de costuras verticales que terminan en pequeños godets dando vuelo a la falda. Cierre en espalda con cremallera oculta en costura.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL']",[],https://www.zara.com/es/es/vestido-midi-vuelo-zw-collection-p03006653.html,ZARA,VESTIDO,MUJER
2024-05-19 17:35:23.969311,KIMONO ARRUGADO RÍGIDO,39.95,Kimono confeccionado en tejido rígido. Escote pico y manga corta. Cinturón en mismo tejido ajustable con lazadas. Detalle de tejido arrugado y rayas a contraste.,V2024-MUJER-ULTIMA-SEMANA,"['XS-S', 'M-L']",[],https://www.zara.com/es/es/kimono-arrugado-rigido-p00264069.html,ZARA,KIMONO,MUJER
2024-05-19 17:35:23.969311,JEANS ZW COLLECTION FULL LENGTH TIRO ALTO,39.95,Slim Fit - Tapered Leg - Tiro AltoZW ZARA WOMAN JEANSJeans confeccionados en hilatura de algodón 100%. Tiro alto y cintura con trabillas. Cinco bolsillos. Efecto lavado. Cierre frontal con cremallera y botón.,V2024-MUJER-ULTIMA-SEMANA,"['32', '34', '36', '38', '40', '42', '44']",[],https://www.zara.com/es/es/jeans-zw-collection-full-length-tiro-alto-p02553044.html,ZARA,JEANS,MUJER
2024-05-19 17:35:23.969311,VESTIDO MIDI PUNTO FLECOS,29.95,Vestido de escote pico y tirantes finos. Bajo acabado con flecos.,V2024-MUJER-ULTIMA-SEMANA,"['S', 'M', 'L']",[],https://www.zara.com/es/es/vestido-midi-punto-flecos-p03500001.html,ZARA,VESTIDO,MUJER
2024-05-19 17:35:23.969311,PANTALÓN LINO ARRUGADO ZW COLLECTION,39.95,ZARA WOMAN COLLECTIONPantalón confeccionado en hilatura con algodón y lino. Tiro medio y cintura elástica con trabillas. Bolsillos delanteros. Largo tobillero. Detalle de tejido arrugado.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL']",[],https://www.zara.com/es/es/pantalon-lino-arrugado-zw-collection-p03319287.html,ZARA,PANTALÓN,MUJER
2024-05-19 17:35:23.969311,CAMISA POPELÍN BORDADOS ZW COLLECTION,49.95,ZARA WOMAN COLLECTIONCamisa confeccionada en hilatura de algodón 100%. Cuello solapa y escote pico con manga por debajo del codo acabada en abertura. Detalle de bordados perforados combinados a tono. Bajo acabado en ondas.,V2024-MUJER-ULTIMA-SEMANA,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",[],https://www.zara.com/es/es/camisa-popelin-bordados-zw-collection-p04786061.html,ZARA,CAMISA,MUJER
